endereco;descricao;area_m2;quartos;banheiros;vagas_garagem;valor_imovel;valor_condominio;valor_iptu;link;bairro;cidade
Não informado;Linda casa à venda no Bairro Mirante Jundiaí, Engordadouro.  São 250 m² com 3 dormitórios sendo 1 suíte, todos com armários planejados, banheiro social, Sala de TV e jantar, jardim de inverno, cozinha planejada, lavanderia repleta de armários, sendo estes ambientes em porcelanato recém colocado.  Área externa com piscina, churrasqueira, forno de pizza, cooktop, armários embutidos e banheiro social.  Garagem coberta com 2 vagas.  O bairro possui segurança privada 24 horas, mercado, padaria, escola municipal e particulares bem próximos. Fácil acesso às rodovias Anhanguera e Bandeirantes.  Estuda permuta por apartamento até 50% do valor  (Valor sujeito alteração sem aviso prévio);250;3;2;0;905000;150;163;https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-piscina-mirante-de-jundiai-jundiai-sp-250m2-id-2645341271/;Mirante de Jundiaí; Jundiaí
Não informado;Linda casa recém reformada, acabamento de primeira, 3 dormitórios com moveis planejados, sala climatizada e espaçosa, cozinha com moveis planejados, banheiros com box de vidro, área gourmet ampla com churrasqueira e pia, lavanderia, quarto de empregada, quintal, garagem para 2 carros, portão basculante, casa á 700mt do metro da vila Matilde, mercado na frente, padaria e comércios próximos, excelente localização, bairro ótimo para morar e trabalhar, endereço pode ser Residencial ou Comercial;200;3;3;2;745000;0;395;https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-churrasqueira-vila-centenario-zona-leste-sao-paulo-sp-200m2-id-2645341164/;Vila Centenário; São Paulo
Avenida Estados Unidos;Apartamento à venda no Parque das Nações - Santo André.Com 136 m² divididos em 3 dormitórios, 1 suíte, sala para 2 ambientes, sacada, cozinha ampla, banheiro social, área de serviço, 3 vagas de garagem.Localização excelente, próximo a todo os comércios e bancos da Av. Vieira de Carvalho, a 2 minutos do Parque Pignatari, McDonalds e Av. Utinga. CÓD: AP15262  Agende sua visita com um dos nossos corretores e venha conhecer!! -;136;3;2;3;700000;900;149;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-parque-das-nacoes-santo-andre-sp-136m2-id-2624607622/;Parque das Nações; Santo André
Não informado;Muito bem localizado, com toda infraestrutura do centro de Campinas. -;700;1;8;12;5000000;0;2500;https://www.zapimoveis.com.br/imovel/venda-predio-1-quarto-vila-itapura-campinas-sp-700m2-id-2643651786/;Vila Itapura; Campinas
Avenida Padre Arlindo Vieira;Não informado;84;2;1;1;490000;0;1;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-sacoma-zona-sul-sao-paulo-sp-84m2-id-2644421825/;Jardim Vergueiro (Sacomã); São Paulo
Rua Abrahão Calux;Não informado;58;2;1;1;399000;0;1;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-sacoma-zona-sul-sao-paulo-sp-58m2-id-2644422295/;Vila Moinho Velho; São Paulo
Avenida do Cursino;Não informado;63;2;2;2;478000;0;1;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-sacoma-zona-sul-sao-paulo-sp-63m2-id-2644423613/;Saúde; São Paulo
Rua Getúlio Vargas Filho;Não informado;45;2;1;1;340000;0;1;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-jabaquara-zona-sul-sao-paulo-sp-45m2-id-2644423085/;Cidade Vargas; São Paulo
Rua Vicente Fernandes Pinto;Não informado;63;2;1;1;351000;0;1;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-jabaquara-zona-sul-sao-paulo-sp-63m2-id-2644419128/;Água Funda; São Paulo
Rua Charles Hoyt;Não informado;69;2;1;1;361000;0;1;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-jabaquara-zona-sul-sao-paulo-sp-69m2-id-2644421815/;Vila Fachini; São Paulo
Rua Assungui;Não informado;142;3;2;2;1914000;0;1;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-vila-gumercindo-zona-sul-sao-paulo-sp-142m2-id-2644918856/;Vila Gumercindo; São Paulo
Rua dos Democratas;Não informado;140;4;2;2;1200000;0;1;https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-sao-judas-zona-sul-sao-paulo-sp-140m2-id-2644918759/;Vila Monte Alegre; São Paulo
Avenida do Cursino;Não informado;63;3;2;2;445000;0;1;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-sacoma-zona-sul-sao-paulo-sp-63m2-id-2644424168/;Saúde; São Paulo
Praça São Venceslau;Não informado;54;2;2;2;435000;0;1;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-jabaquara-zona-sul-sao-paulo-sp-54m2-id-2644422807/;Jardim do Colégio (Zona Norte); São Paulo
Rua Lucrécia Maciel;Não informado;49;2;1;1;460000;0;1;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-jabaquara-zona-sul-sao-paulo-sp-49m2-id-2644423867/;Vila Guarani (Z Sul); São Paulo
Avenida Menelick de Carvalho;Vendo casa em lote com 360 m² no bairro Flávio Marques Lisboa em Belo Horizonte na região do Barreiro divisa com Milionários. Valor: R$ 400.000.  03 quartos, 01 sala, cozinha com armários planejados e bancada em granito,  01 banheiro social com Box blindex Área de serviço coberta  Garagem para 06 carros e quintal.  Área do lote: 360 m² Área construída: 120 m² Varanda estilo colonial 01 barracão nos fundos com sala, 01 quarto, cozinha e banheiro Ótima Localização, Na avenida Menelick de Carvalho próximo a hospitais, comércios, ponto de ônibus, escolas. Bairro vizinhos: Barreiro de Baixo, Milionários, Cardoso, Brasil Industrial, Diamante, Tirol, Miramar, Teixeira Dias.  #casanoflaviomarqueslisboa #aptosfinanciados #casasfinanciadas #regiaõdobarreiro #imoveisnobarreiro #comprarcasa #comprarlote #lotesfinanciados #financiamentodecasa #minhacasaminhavida #aptodiamante #casadiamante #imobiliariabarreiro #imobiliariadiamante #imobiliariaibirite #imobiliariacontagem #apartamentonoteixeiradias #apartamentonomaldonado #apartamentonotirol #apartamentonodiamante #apartamentonapuc #aptosavenda #teixeiradias #barreiro     Chave do anúncio: XU8NlPvnNlC54SWn;120;3;1;6;400000;0;1680;https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-interfone-flavio-marques-lisboa-barreiro-belo-horizonte-mg-120m2-id-2601419768/;Flávio Marques Lisboa (Barreiro); Belo Horizonte
Rua Luiz Carlos Sarolli;EXCELENTE APARTAMENTO GARDEN NO OCEAN, UM DOS MAIORES TERRENOS, 2 QUARTOS SENDO 1 SUÍTE, ARMÁRIOS PLANEJADOS NA COZINHA E QUARTOS, PRONTO PARA MORAR, REPLETO ARMÁRIOS PLANEJADOS NA COZINHA, BANHEIROS E QUARTOS, AQUECEDOR A GÁS, TOTAL 2 BANHEIROS, 1 VAGA DE GARAGEM, CLUBE EXCLUSIVO PARA MORADORES E VISITAS NA PRAIA DO PONTAL, COM VAN INCLUSA! UM CONDOMÍNIO COMPLETO EM LAZER E EM BEM-ESTAR JUNTO À NATUREZA! ÁREAS DE CONVÍVIO E LAZER, SAUNA, PISCINA, SPA, FITNESS EXTERNO, PLAYGROUND, ESPAÇO ZEN, REDÁRIO, PRANCHÁRIO, FITNESSDECK, QUADRA, SALÃO DE JOGOS, CHURRASQUEIRA,SALÃO DE FESTAS, PISCINA INFANTIL, SOLARIUM, BRINQUEDOTECA, HOME OFFICE. O CONDOMINIO TAMBÉM CONTA COM UM BEACH CLUB, EM FRENTE À PRAIA E COM ONIBUS ATÉ O JARDIM OCEANICO. AMÉRICAS IMÓVEIS - CRECI J 7700;65;2;2;1;640000;1400;129;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-recreio-dos-bandeirantes-zona-oeste-rio-de-janeiro-rj-65m2-id-2620484043/;Recreio dos Bandeirantes; Rio de Janeiro
Avenida Presidente Tancredo Neves;{FRAGATA 275 16 7 2023 T}  Condomínio Vivendas Santa Lúcia - Jabutiana  Casa com 3/4, suíte , salas de estar e jantar , quintal grande , garagem para 02 carros , excelente moradia, acessibilidade e infraestrutura local.  Aceita financiamento.  Temos Imóveis Novos e Usados em todos os bairros. Entre em contato  FRAGATA IMOBILIÁRIA - Creci 275 PJ  . . Terraços, Aquamarine, Smart, Atalaia, Pérolas, Zenith, Ocean Residence, Concept Tower, Atlantic Tower , Infinity, Horizonte, Serra Graciosa, Mirante, Vista do Atlântico, El Viso, Blue Mare, Verde Mare, Le Monde, Parque Arena, Rota do Sol, Maria Rezende, São Lourenço, Melício Machado, Fragata, Caminho dos ventos, Eduardo Fonseca, Ravines, Kenoa, Guilhermino Rezende, Reserva Aruanã, Alamedas do Sol, Costa Marina, Maikai, Thai, Damha, Atlantic Blue, Morada do rio, Aimoré, Gran Farol, Rebecca Milsten, Mar de Aruana, Porto Atlântico, Palmville, Ariovaldo Souza, Mauí, San Diego, Malui, Morada do Rio, Costa Paradiso. Via Farol, Luzes do Farol, Vitta, Altos do Farol, Elegance, Clube do Parque, Golden Gate, Portal do Farol, Felicitá Farol, Arte Viva, Belas Artes, Aquarela, Vila Maestria, Life Universitá, Vista Beira Mar, Hyde Park, Aloísio Campos, Aliete Vieira, Angra dos Reis, Monticello, Vivace, Grand Belize, Vilagio de Venezia, Illuminare, Farol Residence. Luzia, Alameda Gardem, Jardins, Supremo Jardins, Repleto, Elevato, Absoluto, Easy luzia, Spazio Acqua, Pérolas, Virtuosi, Lazuli, Ecovile, Ecoville, Encantos Mineiros, Padre Arnobio, Alta Vista, Porto das Águas, Moradas Adriático, Soberano, Triumph, Morada das Mangueiras, Solar do Ventos, Recanto dos Guarás, Parque das Violetas, José Nilton Machado, Suíssa, alphaville, Alameda Verdejar, Terras Brasilis, Pacifico Norte, Costa Dourada, Living Residence, Renaissance, Front Garden, Solar das Árvores, Piazza Bella, Avant Life, Campos Dourados, Singulare, Vita Plaza, Versatto, Gentil Barbosa, Ouro Negro, Ouro Verde, Garden Tower, Jardim de Londres, Mansão Roberto Constâncio Vieira, Le Provence, Prime Jardim Europa, 13 de Julho, Dubai, Jardins da França, Terraços Tramandaí, Florata, Costa Brava, Fontana Di Trevi, Garcia, Classique, Unique, Premiere, Living, Grand Park, Monet, Tivoli, Golden Tower, Metropolitan, Parque Bello, Buena Vista, Vale do Luar, Margarida Diniz, Mansão Terrazzo Verdetto, Portal do Garcia, Bourgogne,Vizcaya, Giardino, club Jardins. Life Jabotianal, Alpha Park, Encantos do Bosque, Vivendas, Canto Belo, Villa dos Mares, Verde Vida, Prestige, Bossa Nova, Regent Garden, Tropical Village, Parque das Serras, Mont Serrat, Parque Nascente, Recanto da Natureza, Privillege, Prestige, Reserva Santa Lúcia, Portal das Flores, Viamonte, Arboris Jabotiana, Solar Mediterrâneo, Vila Astúrias, Mirante, Alto, Porto Alvorada, Qualivida;166;3;2;2;540016;430;0;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-salao-de-festas-jabotiana-aracaju-se-166m2-id-2644750561/;Jabotiana; Aracaju
Rua Antônio de Pádua Araújo;[ FRAGATA IMOBILIÁRIA 17 07 2023 ]  CONDOMÍNIO SPRING VILLAGE  Apartamento com 89 m², com 3 Quartos, sendo 1 suíte, sala, varanda, 1 banheiro social, cozinha, área e banheiro de serviço e 1 vaga de garagem.  PORTEIRA FECHADA  Posição Leste/Sul - super ventilado  DÉCIMO SEGUNDO ANDAR  Valor do imóvel R$ 465.000,00 Taxa de condomínio R$ 853,00  ACEITA FINANCIAMENTO  Temos Imóveis Novos e Usados em todos os bairros.  Entre em contato   FRAGATA IMOBILIÁRIA - CRECI 275 J  Terraços, Aquamarine, Smart, Atalaia, Pérolas, Zenith, Ocean Residence, Concept Tower, Atlantic Tower , Infinity, Horizonte, Serra Graciosa, Mirante, Vista do Atlântico, El Viso, Blue Mare, Verde Mare, Le Monde, Parque Arena, Rota do Sol, Maria Rezende, São Lourenço, Melício Machado, Fragata, Caminho dos ventos, Eduardo Fonseca, Ravines, Kenoa, Guilhermino Rezende, Reserva Aruanã, Alamedas do Sol, Costa Marina, Maikai, Thai, Damha, Atlantic Blue, Morada do rio, Aimoré, Gran Farol, Rebecca Milsten, Mar de Aruana, Porto Atlântico, Palmville, Ariovaldo Souza, Mauí, San Diego, Malui, Morada do Rio, Costa Paradiso. Via Farol, Luzes do Farol, Vitta, Altos do Farol, Elegance, Clube do Parque, Golden Gate, Portal do Farol, Felicitá Farol, Arte Viva, Belas Artes, Aquarela, Vila Maestria, Life Universitá, Vista Beira Mar, Hyde Park, Aloísio Campos, Aliete Vieira, Angra dos Reis, Monticello, Vivace, Grand Belize, Vilagio de Venezia, Illuminare, Farol Residence. Luzia, Alameda Gardem, Jardins, Supremo Jardins, Repleto, Elevato, Absoluto, Easy luzia, Spazio Acqua, Pérolas, Virtuosi, Lazuli, Ecovile, Ecoville, Encantos Mineiros, Padre Arnobio, Alta Vista, Porto das Águas, Moradas Adriático, Soberano, Triumph, Morada das Mangueiras, Solar do Ventos, Recanto dos Guarás, Parque das Violetas, José Nilton Machado, Suíssa, alphaville, Alameda Verdejar, Terras Brasilis, Pacifico Norte, Costa Dourada, Living Residence, Renaissance, Front Garden, Solar das Árvores, Piazza Bella, Avant Life, Campos Dourados, Singulare, Vita Plaza, Versatto, Gentil Barbosa, Ouro Negro, Ouro Verde, Garden Tower, Jardim de Londres, Mansão Roberto Constâncio Vieira, Le Provence, Prime Jardim Europa, 13 de Julho, Dubai, Jardins da França, Terraços Tramandaí, Florata, Costa Brava, Fontana Di Trevi, Garcia, Classique, Unique, Premiere, Living, Grand Park, Monet, Tivoli, Golden Tower, Metropolitan, Parque Bello, Buena Vista, Vale do Luar, Margarida Diniz, Mansão Terrazzo Verdetto, Portal do Garcia, Bourgogne,Vizcaya, Giardino, club Jardins. Life Jabotianal, Alpha Park, Encantos do Bosque, Vivendas, Canto Belo, Villa dos Mares, Verde Vida, Prestige, Bossa Nova, Regent Garden, Tropical Village, Parque das Serras, Mont Serrat, Parque Nascente, Recanto da Natureza, Privillege, Prestige, Reserva Santa Lúcia, Portal das Flores, Viamonte, Arboris Jabotiana, Solar Mediterrâneo, Vila Astúrias, Mirante, Alto, Porto Alvorada, Qualivida;89;3;3;1;465007;650;0;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-grageru-aracaju-se-89m2-id-2644750660/;Grageru; Aracaju
Avenida Dos Coqueiros;[ FRAGATA IMOBILIÁRIA 17 07 2023 ]  CONDOMÍNIO ALPHAVILLE SERGIPE - na Barra dos Coqueiros  Casa alto padrão com 289 m² de área construída e uma área total de 553,84 m².  Imóvel com fino acabamento, dispõe de 4 suítes, sendo uma máster com closet e vista mar, sala ampla com pé direito duplo, escritório com vista privilegiada, banheiro social, área gourmet com banheiro, piscina e lounge e garagem para 4 carros sendo 2 cobertos.  Condomínio com piscina, quadra, academia, parque infantil entre outros itens  Valor do imóvel R$ 1.600.000,00 Taxa de condomínio R$ 509,00  Mobiliado, conforme projeto de ambientação R$ 1.890.000,00  ACEITA FINANCIAMENTO  Temos Imóveis Novos e Usados em todos os bairros.  Entre em contato   FRAGATA IMOBILIÁRIA - CRECI 275 J  . . . Terraços, Aquamarine, Smart, Atalaia, Pérolas, Zenith, Ocean Residence, Concept Tower, Atlantic Tower , Infinity, Horizonte, Serra Graciosa, Mirante, Vista do Atlântico, El Viso, Blue Mare, Verde Mare, Le Monde, Parque Arena, Rota do Sol, Maria Rezende, São Lourenço, Melício Machado, Fragata, Caminho dos ventos, Eduardo Fonseca, Ravines, Kenoa, Guilhermino Rezende, Reserva Aruanã, Alamedas do Sol, Costa Marina, Maikai, Thai, Damha, Atlantic Blue, Morada do rio, Aimoré, Gran Farol, Rebecca Milsten, Mar de Aruana, Porto Atlântico, Palmville, Ariovaldo Souza, Mauí, San Diego, Malui, Morada do Rio, Costa Paradiso. Via Farol, Luzes do Farol, Vitta, Altos do Farol, Elegance, Clube do Parque, Golden Gate, Portal do Farol, Felicitá Farol, Arte Viva, Belas Artes, Aquarela, Vila Maestria, Life Universitá, Vista Beira Mar, Hyde Park, Aloísio Campos, Aliete Vieira, Angra dos Reis, Monticello, Vivace, Grand Belize, Vilagio de Venezia, Illuminare, Farol Residence. Luzia, Alameda Gardem, Jardins, Supremo Jardins, Repleto, Elevato, Absoluto, Easy luzia, Spazio Acqua, Pérolas, Virtuosi, Lazuli, Ecovile, Ecoville, Encantos Mineiros, Padre Arnobio, Alta Vista, Porto das Águas, Moradas Adriático, Soberano, Triumph, Morada das Mangueiras, Solar do Ventos, Recanto dos Guarás, Parque das Violetas, José Nilton Machado, Suíssa, alphaville, Alameda Verdejar, Terras Brasilis, Pacifico Norte, Costa Dourada, Living Residence, Renaissance, Front Garden, Solar das Árvores, Piazza Bella, Avant Life, Campos Dourados, Singulare, Vita Plaza, Versatto, Gentil Barbosa, Ouro Negro, Ouro Verde, Garden Tower, Jardim de Londres, Mansão Roberto Constâncio Vieira, Le Provence, Prime Jardim Europa, 13 de Julho, Dubai, Jardins da França, Terraços Tramandaí, Florata, Costa Brava, Fontana Di Trevi, Garcia, Classique, Unique, Premiere, Living, Grand Park, Monet, Tivoli, Golden Tower, Metropolitan, Parque Bello, Buena Vista, Vale do Luar, Margarida Diniz, Mansão Terrazzo Verdetto, Portal do Garcia, Bourgogne,Vizcaya, Giardino, club Jardins. Life Jabotianal, Alpha Park, Encantos do Bosque, Vivendas, Canto Belo, Villa dos Mares, Verde Vida, Prestige, Bossa Nova, Regent Garden, Tropical Village, Parque das Serras, Mon;553;4;6;4;1600007;509;0;https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-barra-dos-coqueiros-barra-dos-coqueiros-553m2-id-2644750654/;Alphaville; Barra dos Coqueiros
Avenida Dos Coqueiros;[ FRAGATA IMOBILIÁRIA 17 07 2023 ]  CONDOMÍNIO TERRAS ALPHAVILLE 1 - na Barra dos Coqueiros  Casa com 300 m² de terreno e com 277 m² de área construída.  Com 4 Quartos (sendo 3 suítes), 1 das suítes com closet, 1 escritório, com varanda, reversível para quarto, sala com pé direto duplo, Lavabo, Área gourmet, Churrasqueira e Área de serviço  Com móveis planejados  Garagem coberta para 2 carros  Piscina  Condomínio completo e equipado.  Valor do imóvel R$ 1.100.000,00 Taxa de condomínio R$ 480,00   ACEITA FINANCIAMENTO  Temos Imóveis Novos e Usados em todos os bairros.  Entre em contato   FRAGATA IMOBILIÁRIA - CRECI 275 J  . . . . .  Terraços, Aquamarine, Smart, Atalaia, Pérolas, Zenith, Ocean Residence, Concept Tower, Atlantic Tower , Infinity, Horizonte, Serra Graciosa, Mirante, Vista do Atlântico, El Viso, Blue Mare, Verde Mare, Le Monde, Parque Arena, Rota do Sol, Maria Rezende, São Lourenço, Melício Machado, Fragata, Caminho dos ventos, Eduardo Fonseca, Ravines, Kenoa, Guilhermino Rezende, Reserva Aruanã, Alamedas do Sol, Costa Marina, Maikai, Thai, Damha, Atlantic Blue, Morada do rio, Aimoré, Gran Farol, Rebecca Milsten, Mar de Aruana, Porto Atlântico, Palmville, Ariovaldo Souza, Mauí, San Diego, Malui, Morada do Rio, Costa Paradiso. Via Farol, Luzes do Farol, Vitta, Altos do Farol, Elegance, Clube do Parque, Golden Gate, Portal do Farol, Felicitá Farol, Arte Viva, Belas Artes, Aquarela, Vila Maestria, Life Universitá, Vista Beira Mar, Hyde Park, Aloísio Campos, Aliete Vieira, Angra dos Reis, Monticello, Vivace, Grand Belize, Vilagio de Venezia, Illuminare, Farol Residence. Luzia, Alameda Gardem, Jardins, Supremo Jardins, Repleto, Elevato, Absoluto, Easy luzia, Spazio Acqua, Pérolas, Virtuosi, Lazuli, Ecovile, Ecoville, Encantos Mineiros, Padre Arnobio, Alta Vista, Porto das Águas, Moradas Adriático, Soberano, Triumph, Morada das Mangueiras, Solar do Ventos, Recanto dos Guarás, Parque das Violetas, José Nilton Machado, Suíssa, alphaville, Alameda Verdejar, Terras Brasilis, Pacifico Norte, Costa Dourada, Living Residence, Renaissance, Front Garden, Solar das Árvores, Piazza Bella, Avant Life, Campos Dourados, Singulare, Vita Plaza, Versatto, Gentil Barbosa, Ouro Negro, Ouro Verde, Garden Tower, Jardim de Londres, Mansão Roberto Constâncio Vieira, Le Provence, Prime Jardim Europa, 13 de Julho, Dubai, Jardins da França, Terraços Tramandaí, Florata, Costa Brava, Fontana Di Trevi, Garcia, Classique, Unique, Premiere, Living, Grand Park, Monet, Tivoli, Golden Tower, Metropolitan, Parque Bello, Buena Vista, Vale do Luar, Margarida Diniz, Mansão Terrazzo Verdetto, Portal do Garcia, Bourgogne,Vizcaya, Giardino, club Jardins. Life Jabotianal, Alpha Park, Encantos do Bosque, Vivendas, Canto Belo, Villa dos Mares, Verde Vida, Prestige, Bossa Nova, Regent Garden, Tropical Village, Parque das Serras, Mont Serrat, Parque Nascente, Recanto da Natureza, Privillege, Prestige, Reserva Santa Lúcia, Portal das Flores, Viamon;300;4;5;2;1100007;480;0;https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-barra-dos-coqueiros-barra-dos-coqueiros-300m2-id-2644749964/;Alphaville; Barra dos Coqueiros
Avenida Terras Alphaville;[ FRAGATA IMOBILIÁRIA 17 07 2023 ]  CASA NO CONDOMÍNIO TERRAS ALPHAVILLE 2 - na Barra dos Coqueiros  Casa com terreno de 343 m² e 225 m² de área construída.   Com 4 quartos, sendo 1 suíte máster, 3 banheiros, 2 salas, sala integrada à área gourmet, cozinha, dispensa, área de serviço.  Estação de tratamento da água para tratamento da água do poço, uso em toda a casa.  70 m² de área gramada.  Valor do imóvel R$ 960.000,00 Taxa de condomínio R$ 330,00  Pode financiar  Aceita FGTS  Temos Imóveis Novos e Usados em todos os bairros.  Entre em contato   FRAGATA IMOBILIÁRIA - CRECI 275 J  . . . Terraços, Aquamarine, Smart, Atalaia, Pérolas, Zenith, Ocean Residence, Concept Tower, Atlantic Tower , Infinity, Horizonte, Serra Graciosa, Mirante, Vista do Atlântico, El Viso, Blue Mare, Verde Mare, Le Monde, Parque Arena, Rota do Sol, Maria Rezende, São Lourenço, Melício Machado, Fragata, Caminho dos ventos, Eduardo Fonseca, Ravines, Kenoa, Guilhermino Rezende, Reserva Aruanã, Alamedas do Sol, Costa Marina, Maikai, Thai, Damha, Atlantic Blue, Morada do rio, Aimoré, Gran Farol, Rebecca Milsten, Mar de Aruana, Porto Atlântico, Palmville, Ariovaldo Souza, Mauí, San Diego, Malui, Morada do Rio, Costa Paradiso. Via Farol, Luzes do Farol, Vitta, Altos do Farol, Elegance, Clube do Parque, Golden Gate, Portal do Farol, Felicitá Farol, Arte Viva, Belas Artes, Aquarela, Vila Maestria, Life Universitá, Vista Beira Mar, Hyde Park, Aloísio Campos, Aliete Vieira, Angra dos Reis, Monticello, Vivace, Grand Belize, Vilagio de Venezia, Illuminare, Farol Residence. Luzia, Alameda Gardem, Jardins, Supremo Jardins, Repleto, Elevato, Absoluto, Easy luzia, Spazio Acqua, Pérolas, Virtuosi, Lazuli, Ecovile, Ecoville, Encantos Mineiros, Padre Arnobio, Alta Vista, Porto das Águas, Moradas Adriático, Soberano, Triumph, Morada das Mangueiras, Solar do Ventos, Recanto dos Guarás, Parque das Violetas, José Nilton Machado, Suíssa, alphaville, Alameda Verdejar, Terras Brasilis, Pacifico Norte, Costa Dourada, Living Residence, Renaissance, Front Garden, Solar das Árvores, Piazza Bella, Avant Life, Campos Dourados, Singulare, Vita Plaza, Versatto, Gentil Barbosa, Ouro Negro, Ouro Verde, Garden Tower, Jardim de Londres, Mansão Roberto Constâncio Vieira, Le Provence, Prime Jardim Europa, 13 de Julho, Dubai, Jardins da França, Terraços Tramandaí, Florata, Costa Brava, Fontana Di Trevi, Garcia, Classique, Unique, Premiere, Living, Grand Park, Monet, Tivoli, Golden Tower, Metropolitan, Parque Bello, Buena Vista, Vale do Luar, Margarida Diniz, Mansão Terrazzo Verdetto, Portal do Garcia, Bourgogne,Vizcaya, Giardino, club Jardins. Life Jabotianal, Alpha Park, Encantos do Bosque, Vivendas, Canto Belo, Villa dos Mares, Verde Vida, Prestige, Bossa Nova, Regent Garden, Tropical Village, Parque das Serras, Mont Serrat, Parque Nascente, Recanto da Natureza, Privillege, Prestige, Reserva Santa Lúcia, Portal das Flores, Viamonte, Arboris Jabotiana, Solar Mediterrâneo, Vila Astúr;343;4;3;2;960007;330;0;https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-barra-dos-coqueiros-se-343m2-id-2644750658/;COND TERRAS ALPHAVILLE 2 na Barra dos Coqueiros; Barra dos Coqueiros
